coal,natural_gas,nuclear,other_gas,period,petro_coke,petro_liquids
118939,110046,74649,994,January 2018,952,5291
81922,96002,64790,990,February 2018,738,780
80612,104933,67033,1064,March 2018,648,811
73383,99446,59133,940,April 2018,691,854
85311,116107,67320,1000,May 2018,415,1022
101509,130823,69688,1010,June 2018,765,1062
115477,167250,72456,1105,July 2018,922,970
115216,162377,72282,1225,August 2018,873,1041
96742,142772,64725,1001,Sept 2018,835,1039
87452,124171,59397,930,October 2018,484,989
93005,107109,63948,933,November 2018,699,952
96825,106978,71657,998,December 2018,807,930
101019,118935,73701,994,January 2019,820,1316
