coal,natural_gas,nuclear,other_gas,period,petro_coke,petro_liquids
132451,101687,74270,1246,January 2015,1046,1927
126977,91315,63461,1025,February 2015,1100,5221
108488,99423,64547,1091,March 2015,717,1061
88989,92806,59784,979,April 2015,809,919
104585,101516,65827,1099,May 2015,922,1017
125673,121478,68516,1118,June 2015,821,1040
139100,141119,71412,1235,July 2015,1103,1201
134670,139084,72415,1196,August 2015,1040,1093
117986,123036,66476,1210,September 2015,1028,1006
96759,110005,60571,906,October 2015,827,945
87227,102236,60264,902,November 2015,715,995
89495,109777,69634,1110,December 2015,749,948
89495,109777,69634,1110,December 2015,749,948
113459,110044,72525,1195,January 2016,966,1396
92705,98552,65638,1062,February 2016,910,1299
72173,103890,66149,1197,March 2016,927,874
72113,98876,62732,1132,April 2016,1006,833
81695,110430,66576,1053,May 2016,974,984
116034,131395,67175,1043,June 2016,1005,972
136316,151554,70349,1077,July 2016,1049,1273
135635,154760,71526,1064,August 2016,1078,1258
114138,125603,65448,1020,September 2016,980,946
99194,102898,60733,913,October 2016,635,937
86940,93942,65179,1013,November 2016,799,1070
118747,96364,71662,1037,December 2016,869,1166
118747,96364,71662,1037,December 2016,869,1166
115333,95473,73121,1046,January 2017,944,1121
86822,82694,63560,977,February 2017,723,874
89365,95022,65093,1060,March 2017,699,950
81335,88418,56743,1001,April 2017,431,846
92777,98067,61313,1055,May 2017,847,971
107508,117317,67011,992,June 2017,901,1001
127697,146994,71314,1048,July 2017,889,916
119488,141209,72384,1134,August 2017,765,970
98203,118112,68098,1060,September 2017,712,925
89775,106852,65995,999,October 2017,572,956
90986,94883,66618,1001,November 2017,755,903
106546,111373,73700,1096,December 2017,737,1982
