bmsw,geothermal,hydro,landfill_gas,other_waste,period,solar_thermal,solarpv_small,solarpv_utility,wind,wood
590,1407,25596,989,275,January 2018,128,1615,3279,26862,3759
561,1326,25533,941,259,February 2018,191,1762,3922,24096,3379
599,1414,25951,999,272,March 2018,258,2427,4945,27283,3535
570,1246,27490,941,256,April 2018,314,2736,5935,26783,3096
574,1434,30434,932,238,May 2018,430,3010,6640,23603,3550
630,1369,27955,927,230,June 2018,517,3060,7287,24376,3573
640,1436,24014,945,212,July 2018,380,3147,6558,16014,3690
632,1429,21400,951,214,August 2018,409,3018,6572,19530,3570
563,1388,18665,880,191,Sept 2018,430,2681,6039,17977,3284
597,1347,18781,929,240,October 2018,275,2400,4949,21147,3277
588,1397,22176,936,227,November 2018,168,1914,3790,22457,3284
619,1535,23728,967,239,December 2018,92,1774,3096,24825,3414
600,1456,24544,928,226,January 2019,111,1938,3541,25165,3529
