bmsw,geothermal,hydro,landfill_gas,other_waste,period,solar_thermal,solarpv_small,solarpv_utility,wind,wood
582,1362,24138,885,258,January 2015,63,746,1092,15162,3717
503,1260,22286,792,230,February 2015,161,816,1322,14922,3372
543,1394,24281,914,255,March 2015,286,1134,1786,15308,3457
571,1272,22471,915,243,April 2015,372,1264,2008,17867,3246
609,1390,20125,951,238,May 2015,345,1394,2160,17151,3338
607,1302,20414,926,251,June 2015,380,1408,2178,13421,3496
661,1357,21014,1035,293,July 2015,380,1487,2247,13675,3806
651,1344,19122,982,288,August 2015,392,1468,2295,13080,3788
607,1203,16094,931,268,September 2015,309,1330,1908,13972,3450
617,1323,16630,938,289,October 2015,210,1198,1700,16380,3252
620,1334,19338,993,290,November 2015,204,982,1525,19682,3418
642,1377,23166,1029,299,December 2015,126,914,1444,20098,3587
603,1332,25615,915,277,January 2016,86,980,1400,18466,3600
537,1243,24139,886,285,February 2016,241,1145,2000,20138,3406
579,1315,27390,949,281,March 2016,257,1525,2360,21939,3403
593,1209,25878,932,287,April 2016,273,1703,2606,20799,2967
649,1342,25486,980,280,May 2016,388,1879,3037,18848,3187
614,1251,23237,934,247,June 2016,412,1928,3062,16303,3414
635,1311,21455,943,262,July 2016,471,2000,3473,17618,3658
634,1324,19570,942,285,August 2016,368,1942,3602,13589,3722
589,1327,16368,895,272,September 2016,363,1735,3272,16404,3407
589,1353,17339,839,265,October 2016,249,1552,2942,20335,3176
602,1364,18808,993,296,November 2016,184,1257,2583,19406,3391
640,1454,22528,1011,293,December 2016,91,1167,2333,23146,3615
617,1383,26788,1050,280,January 2017,90,1246,1940,19840,3505
528,1239,23643,910,256,February 2017,136,1384,2419,21198,3186
557,1385,29272,1007,290,March 2017,297,1972,3949,24993,3457
544,1337,29390,956,254,April 2017,310,2195,4385,24613,3149
604,1283,32384,989,267,May 2017,402,2423,5261,22450,3189
588,1214,30222,956,251,June 2017,465,2487,5710,19809,3439
604,1355,26491,948,261,July 2017,311,2555,5442,15960,3703
617,1345,21851,945,246,August 2017,341,2480,5093,13621,3753
558,1297,19067,914,224,September 2017,349,2225,4766,17855,3294
558,1229,18284,921,238,October 2017,314,1990,4507,25306,3306
571,1289,20565,951,272,November 2017,131,1561,3278,24082,3430
606,1571,22377,995,276,December 2017,123,1472,3267,24575,3738
